602PT.bam	667PT.bam	M17PT.bam	M20PT.bam	M37PT.bam	M43PT.bam	M49PT.bam	M50PT.bam	M57PT.bam	M60PT.bam	M61PT.bam	M62PT.bam	M69PT.bam	M77PT.bam	M8PT.bam	M97PT.bam	M99PT.bam
ENSG00000000003	1424	1793	2282	1658	1005	765	2016	1187	2810	918	855	1225	3462	3304	1263	277	730
ENSG00000000005	1	0	1	1	1	0	0	6	1	1	13	15	9	130	1940	2	5
ENSG00000000419	2064	2981	1945	1881	1949	2781	1627	1967	1841	2431	1780	1331	2313	1874	1277	2514	2834
ENSG00000000457	1835	799	1065	708	765	817	1006	797	757	1187	1213	926	1543	2223	683	752	1411
ENSG00000000460	680	725	1355	744	520	839	1138	546	597	827	837	337	1829	1649	255	228	775
ENSG00000000938	550	4388	362	1168	572	2527	538	339	369	536	395	722	378	474	690	1574	1484
ENSG00000000971	201166	8640	42164	4622	199873	61017	116621	44183	13465	33677	32162	36878	14354	6560	23096	24451	14001
ENSG00000001036	1407	5098	2301	6342	2277	4741	4109	2102	3216	3963	1987	2437	1529	3890	2078	3215	3690
ENSG00000001084	1760	2644	2166	8112	1724	1749	1279	1718	2464	2026	5078	1283	2371	2275	1216	1149	2642
ENSG00000001167	2249	2329	2344	2262	1898	2916	1498	1139	2756	2427	2485	1172	3391	2992	1255	1187	3150
ENSG00000001460	891	363	729	1014	1652	1202	600	677	253	773	453	608	734	550	328	680	335
ENSG00000001461	4444	2349	2052	2065	5396	2577	3036	2584	1137	3459	5613	1881	2673	1314	1215	1381	1201
ENSG00000001497	2694	3705	2559	2803	2390	3106	1876	2010	2995	2780	2858	1568	3592	2214	1421	4868	3425
ENSG00000001561	3142	2642	1620	1026	1701	1593	663	1074	981	1370	716	631	1523	577	933	870	1156
ENSG00000001617	1351	6276	4257	1034	1270	1380	514	1756	1864	1126	945	1762	1971	1676	1641	1946	3076
ENSG00000001626	18	3	42	28	37	7	74	98	2693	105	93	23	31	2	80	6	135
ENSG00000001629	4696	5972	9133	6615	5368	10300	5727	6417	5791	5266	4537	4783	7726	7712	3836	3962	5299
ENSG00000001630	169	225	124	97	79	148	71	87	118	166	104	54	94	129	54	25	83
ENSG00000001631	3371	2703	3224	3376	3479	4079	4683	3248	2957	3787	2726	2323	5171	3567	1902	5428	2815
ENSG00000002016	561	753	934	1030	1131	928	1105	656	1026	1049	935	782	983	686	724	1338	797
ENSG00000002079	8	2	11	15	15	34	9	28	30	14	34	5	63	10	3	28	22
ENSG00000002330	840	491	717	446	728	739	320	575	245	499	346	582	433	329	406	741	863
ENSG00000002549	3728	24154	4844	7880	3402	8566	2283	3054	3078	5925	6664	6399	4688	8495	5370	6640	38697
ENSG00000002586	8120	16436	15270	7962	11870	8635	5063	5550	10089	4983	7132	26085	4424	46061	23090	7667	15804
ENSG00000002587	164	269	206	274	100	216	175	65	549	159	480	207	208	209	110	154	151
ENSG00000002726	89	6	73	23	4	22	20	16	30	10	9	25	7	41	22	10	20
ENSG00000002745	8	22	7	16	6	11	2790	319	10	42	28	53	12	101	129	117	16
ENSG00000002746	11	18	678	108	651	754	165	154	321	82	368	296	212	576	107	121	95
ENSG00000002822	1116	1970	1109	1010	1068	1466	1122	1153	1233	1145	851	1047	1034	2052	1120	1368	1713
ENSG00000002834	5878	27755	17776	21142	11922	22191	8372	8062	13551	16239	11978	14055	12188	19004	11722	7876	18777
ENSG00000002919	1020	2572	1235	1604	1082	1294	663	550	723	1411	663	1319	1063	1243	926	950	1984
ENSG00000002933	6925	8687	3346	5640	3410	9961	6140	6459	2651	17702	3038	4873	2343	2333	2910	3485	5472
ENSG00000003056	2899	10372	4771	8595	4592	7348	4441	2540	5151	4747	2627	3065	2678	3561	3013	1969	5573
ENSG00000003096	213	1865	108	80	20	15	80	37	487	70	486	297	1116	138	291	6	83
ENSG00000003137	666	398	482	370	943	1379	842	580	1745	2219	708	407	437	854	822	373	195
ENSG00000003147	2184	247	1371	349	1408	809	787	2282	502	2437	599	480	1517	261	461	1140	776
